max_l1,l1,cl1,p1,b1,c1,d1,d1_std,d11,d11_std,d12,d12_std,drop1
1,5,5,0,1,1,0.08107504844665528,0.0025397482288684616,0,0,0.08107504844665528,0.0025397482288684616,0
1,5,5,0,1,1,0.08281106948852539,0.0021193779988769143,0,0,0.08281106948852539,0.0021193779988769143,0
1,5,5,0,1,1,0.08388681411743164,0.000949241138086796,0,0,0.08388681411743164,0.000949241138086796,0
1,5,5,0,1,1,0.08005871772766113,0.0015860576422045164,0,0,0.08005871772766113,0.0015860576422045164,0
1,5,5,0,1,1,0.08107342720031738,0.001586315056018414,0,0,0.08107342720031738,0.001586315056018414,0
1,5,4,0,0.8,1,0.09106218814849854,0.014911139783013531,0,0,0.09106218814849854,0.014911139783013531,1
1,5,4,0,0.8,1,0.08126413822174072,0.002117306810980983,0,0,0.08126413822174072,0.002117306810980983,1
1,5,3,0,0.8,1,0.08351349830627441,0.0013344600037828896,0,0,0.08351349830627441,0.0013344600037828896,2
1,5,2,0,0.8,1,0.08293938636779785,0.0027208328247070312,0,0,0.08293938636779785,0.0027208328247070312,3
1,5,3,0,0.8,1,0.0813308556874593,0.0033298198976046797,0,0,0.0813308556874593,0.0033298198976046797,2
1,5,3,0,0.6,1,0.08157984415690105,0.0005544651298707063,0,0,0.08157984415690105,0.0005544651298707063,2
1,5,3,0,0.6,1,0.08337887128194173,0.0011976899096035438,0,0,0.08337887128194173,0.0011976899096035438,2
1,6,3,0,0.6,1,0.08303205172220866,0.0019010966508320518,0,0,0.08303205172220866,0.0019010966508320518,3
1,5,3,0,0.6,1,0.08186507225036621,0.002003481308118503,0,0,0.08186507225036621,0.002003481308118503,2
1,5,4,0,0.6,1,0.08109742403030396,0.0007685269030388238,0,0,0.08109742403030396,0.0007685269030388238,1
1,5,3,0,0.4,1,0.08280603090922038,0.0021718373605022177,0,0,0.08280603090922038,0.0021718373605022177,2
1,5,3,0,0.4,1,0.08240135510762532,0.0014484572668807573,0,0,0.08240135510762532,0.0014484572668807573,2
1,5,3,0,0.4,1,0.08136280377705891,0.0016718023008982978,0,0,0.08136280377705891,0.0016718023008982978,2
1,5,3,0,0.4,1,0.08288105328877766,0.0017153051732359547,0,0,0.08288105328877766,0.0017153051732359547,2
1,5,3,0,0.4,1,0.08307266235351562,0.0010910220355777303,0,0,0.08307266235351562,0.0010910220355777303,2
1,5,4,0,0.19999999999999996,1,0.08007204532623291,0.000856647767109761,0,0,0.08007204532623291,0.000856647767109761,1
1,5,4,0,0.19999999999999996,1,0.08205211162567139,0.0018845077575493938,0,0,0.08205211162567139,0.0018845077575493938,1
1,5,4,0,0.19999999999999996,1,0.08059215545654297,0.0007775131628865097,0,0,0.08059215545654297,0.0007775131628865097,1
1,5,3,0,0.19999999999999996,1,0.08323907852172852,0.0023451030407197213,0,0,0.08323907852172852,0.0023451030407197213,2
1,5,3,0,0.19999999999999996,1,0.0836779276529948,0.0025312940877197806,0,0,0.0836779276529948,0.0025312940877197806,2
1,5,3,0,0,1,0.08383846282958984,0.002671012872300219,0,0,0.08383846282958984,0.002671012872300219,2
1,5,3,0,0,1,0.08251619338989258,0.0015066095543770123,0,0,0.08251619338989258,0.0015066095543770123,2
1,5,4,0,0,1,0.080547034740448,0.0018683574812545978,0,0,0.080547034740448,0.0018683574812545978,1
1,5,3,0,0,1,0.08012119928995769,0.004899631176519442,0,0,0.08012119928995769,0.004899631176519442,2
1,5,4,0,0,1,0.08329230546951294,0.003603094670765407,0,0,0.08329230546951294,0.003603094670765407,1
1,5,5,20.0,1,1,0.08047242164611816,0.0018906582523261085,0,0,0.08047242164611816,0.0018906582523261085,0
1,5,5,20.0,1,1,0.1349301815032959,0.11055522935101494,0.3560166358947754,0.0,0.07965856790542603,0.0018212832037396952,0
1,5,5,20.0,1,1,0.1189570426940918,0.07402932576248554,0.2669823169708252,0.0,0.08195072412490845,0.0017573476721565895,0
1,5,5,20.0,1,1,0.08210020065307617,0.002629909192793065,0,0,0.08210020065307617,0.002629909192793065,0
1,5,5,20.0,1,1,0.2106605052947998,0.1097492472574283,0.2961873213450114,0.042246958403885405,0.08237028121948242,0.0020973682403564453,0
1,5,3,20.0,0.8,1,0.20568068822224936,0.08387167729810448,0.2649867534637451,0.0002434253692626953,0.08706855773925781,0.0,2
1,5,3,20.0,0.8,1,0.1438758373260498,0.08742411147868448,0.2675039768218994,0.0,0.082061767578125,0.0012350082397460938,2
1,5,2,20.0,0.8,1,0.17151260375976562,0.0878148078918457,0.25932741165161133,0.0,0.08369779586791992,0.0,3
1,5,4,20.0,0.8,1,0.1719759702682495,0.08962959215824995,0.26160264015197754,0.0002334117889404297,0.08234930038452148,0.0009965896606445312,1
1,5,4,20.0,0.8,1,0.12787777185440063,0.07800790007084708,0.2629685401916504,0.0,0.08284751574198405,0.0016575390649075097,1
1,5,3,20.0,0.6,1,0.14023025830586752,0.08317413602667241,0.2578263282775879,0.0,0.08143222332000732,0.002297520637512207,2
1,5,3,20.0,0.6,1,0.14093637466430664,0.08238385538541564,0.2574183940887451,0.0,0.0826953649520874,0.0021456480026245117,2
1,5,3,20.0,0.6,1,0.08314092953999837,0.0012495682078677006,0,0,0.08314092953999837,0.0012495682078677006,2
1,5,3,20.0,0.6,1,0.08193325996398926,0.001960270220956921,0,0,0.08193325996398926,0.001960270220956921,2
1,5,3,20.0,0.6,1,0.08291840553283691,0.0006444357019685126,0,0,0.08291840553283691,0.0006444357019685126,2
