max_l1,l1,cl1,p1,b1,c1,d1,d1_std,d11,d11_std,d12,d12_std,drop1
1,5,5,0,1,1,0.0799776554107666,0.0029864491377349068,0,0,0.0799776554107666,0.0029864491377349068,0
1,5,5,0,1,1,0.0816762924194336,0.0013735321813329775,0,0,0.0816762924194336,0.0013735321813329775,0
1,5,5,0,1,1,0.08014359474182128,0.0013152709255914666,0,0,0.08014359474182128,0.0013152709255914666,0
1,5,5,0,1,1,0.08145689964294434,0.0013838196436327507,0,0,0.08145689964294434,0.0013838196436327507,0
1,5,5,0,1,1,0.08253021240234375,0.002800391164738703,0,0,0.08253021240234375,0.002800391164738703,0
1,5,3,0,0.8,1,0.08233602841695149,0.0022837686990430975,0,0,0.08233602841695149,0.0022837686990430975,2
1,5,4,0,0.8,1,0.08463466167449951,0.0011721928485761747,0,0,0.08463466167449951,0.0011721928485761747,1
1,5,3,0,0.8,1,0.08246739705403645,0.001185120798675946,0,0,0.08246739705403645,0.001185120798675946,2
1,5,4,0,0.8,1,0.08327656984329224,0.0019817528653825844,0,0,0.08327656984329224,0.0019817528653825844,1
1,5,3,0,0.8,1,0.0832967758178711,0.0012621588644170197,0,0,0.0832967758178711,0.0012621588644170197,2
1,5,3,0,0.6,1,0.08321444193522136,0.0007354375582706804,0,0,0.08321444193522136,0.0007354375582706804,2
1,5,4,0,0.6,1,0.07936066389083862,0.0009781254401205733,0,0,0.07936066389083862,0.0009781254401205733,1
1,5,3,0,0.6,1,0.08264462153116862,0.0005613312948248664,0,0,0.08264462153116862,0.0005613312948248664,2
1,5,3,0,0.6,1,0.08467427889506023,0.00035736563569777296,0,0,0.08467427889506023,0.00035736563569777296,2
1,5,3,0,0.6,1,0.08162426948547363,0.0004675839984443938,0,0,0.08162426948547363,0.0004675839984443938,2
1,5,3,0,0.4,1,0.08061607678731282,0.003815334189079011,0,0,0.08061607678731282,0.003815334189079011,2
1,5,4,0,0.4,1,0.08199596405029297,0.0018114603464136232,0,0,0.08199596405029297,0.0018114603464136232,1
1,5,3,0,0.4,1,0.0793766975402832,0.0006718197569819512,0,0,0.0793766975402832,0.0006718197569819512,2
1,5,3,0,0.4,1,0.08210237820943196,0.003237312806050491,0,0,0.08210237820943196,0.003237312806050491,2
1,5,3,0,0.4,1,0.08064158757527669,0.0016896488179579095,0,0,0.08064158757527669,0.0016896488179579095,2
1,5,3,0,0.19999999999999996,1,0.0795129934946696,0.0009870703156126051,0,0,0.0795129934946696,0.0009870703156126051,2
1,5,3,0,0.19999999999999996,1,0.08117469151814778,0.0026211031773975147,0,0,0.08117469151814778,0.0026211031773975147,2
1,5,3,0,0.19999999999999996,1,0.08063689867655437,0.0024415206163204565,0,0,0.08063689867655437,0.0024415206163204565,2
1,5,2,0,0.19999999999999996,1,0.07851970195770264,0.0006545782089233398,0,0,0.07851970195770264,0.0006545782089233398,3
1,5,3,0,0.19999999999999996,1,0.08202966054280598,0.0006546911186223273,0,0,0.08202966054280598,0.0006546911186223273,2
1,5,3,0,0,1,0.08215959866841634,0.0022322913914530206,0,0,0.08215959866841634,0.0022322913914530206,2
1,5,3,0,0,1,0.08275214831034343,0.0016041133371690964,0,0,0.08275214831034343,0.0016041133371690964,2
1,5,3,0,0,1,0.08055806159973145,0.00219439887730342,0,0,0.08055806159973145,0.00219439887730342,2
1,5,3,0,0,1,0.08266870180765788,0.000981203859966067,0,0,0.08266870180765788,0.000981203859966067,2
1,5,3,0,0,1,0.08041222890218098,0.0010337176398587517,0,0,0.08041222890218098,0.0010337176398587517,2
1,5,5,20.0,1,1,0.10832433700561524,0.05342326189643763,0.2151169776916504,0.0,0.08162617683410645,0.0018966699374204866,0
1,5,5,20.0,1,1,0.10861020088195801,0.05176682307459722,0.21210408210754395,0.0,0.08273673057556152,0.0016039437539738406,0
1,4,4,20.0,1,1,0.1379460096359253,0.09859089322075919,0.30869531631469727,0.0,0.08102957407633464,0.0015153946196873062,0
1,6,6,20.0,1,1,0.14122382799784342,0.08914252723167397,0.26143765449523926,0.046427011489868164,0.08111691474914551,0.001824413076838151,0
1,5,5,20.0,1,1,0.1075324535369873,0.053625276357987195,0.21469640731811523,0.0,0.08074146509170532,0.0024088422970301887,0
1,5,4,20.0,0.8,1,0.07953912019729614,0.0021350061363539564,0,0,0.07953912019729614,0.0021350061363539564,1
1,5,4,20.0,0.8,1,0.082347571849823,0.0018854687028646135,0,0,0.082347571849823,0.0018854687028646135,1
1,5,3,20.0,0.8,1,0.08156768480936687,0.0023105151047613445,0,0,0.08156768480936687,0.0023105151047613445,2
1,5,3,20.0,0.8,1,0.08309793472290039,0.0013677099935290964,0,0,0.08309793472290039,0.0013677099935290964,2
1,5,4,20.0,0.8,1,0.17005717754364014,0.09574879618177713,0.25931596755981445,0.04900240898132324,0.08079838752746582,0.0004057884216308594,1
1,5,3,20.0,0.6,1,0.19880247116088867,0.0920450484721909,0.25762224197387695,0.048261165618896484,0.08116292953491211,0.0,2
1,5,4,20.0,0.6,1,0.203305184841156,0.07884311465941869,0.24329821268717447,0.04348041551964925,0.08332610130310059,0.0,1
1,5,3,20.0,0.6,1,0.08304429054260254,0.0025378356171263314,0,0,0.08304429054260254,0.0025378356171263314,2
1,5,3,20.0,0.6,1,0.08167727788289388,0.0010221110307223641,0,0,0.08167727788289388,0.0010221110307223641,2
1,5,3,20.0,0.6,1,0.1581867535909017,0.10271945967841986,0.3034093379974365,0.0,0.08557546138763428,0.0031195878982543945,2
1,5,3,20.0,0.4,1,0.1259593963623047,0.06148321898419825,0.2129058837890625,0.0,0.08248615264892578,0.0007145404815673828,2
1,5,3,20.0,0.4,1,0.1269648869832357,0.06046118076967588,0.21244192123413086,0.0,0.08422636985778809,0.0018944740295410156,2
1,5,4,20.0,0.4,1,0.08319199085235596,0.0022410100124838793,0,0,0.08319199085235596,0.0022410100124838793,1
1,5,3,20.0,0.4,1,0.08158739407857259,0.0028862741297020025,0,0,0.08158739407857259,0.0028862741297020025,2
